episode 287 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 67.4
episode 288 of 1000 complete,  explore val = 0.01, episode reward = 103.0, ave reward = 68.1
episode 289 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 68.3
episode 290 of 1000 complete,  explore val = 0.01, episode reward = 85.0, ave reward = 68.5
episode 291 of 1000 complete,  explore val = 0.01, episode reward = 96.0, ave reward = 68.3
episode 292 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 68.5
episode 293 of 1000 complete,  explore val = 0.01, episode reward = 201.0, ave reward = 70.1
episode 294 of 1000 complete,  explore val = 0.01, episode reward = 240.0, ave reward = 72.3
episode 295 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 73.1
episode 296 of 1000 complete,  explore val = 0.01, episode reward = 80.0, ave reward = 73.3
episode 297 of 1000 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 73.7
episode 298 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 73.8
episode 299 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 73.7
episode 300 of 1000 complete,  explore val = 0.01, episode reward = 117.0, ave reward = 74.6
episode 301 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 71.3
episode 302 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 71.3
episode 303 of 1000 complete,  explore val = 0.01, episode reward = 310.0, ave reward = 74.3
episode 304 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 74.6
episode 305 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 74.8
episode 306 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 74.9
episode 307 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 74.9
episode 308 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 74.9
episode 309 of 1000 complete,  explore val = 0.01, episode reward = 425.0, ave reward = 78.8
episode 310 of 1000 complete,  explore val = 0.01, episode reward = 132.0, ave reward = 79.8
episode 311 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 80.1
episode 312 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 79.8
episode 313 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 79.2
episode 314 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 79.5
episode 315 of 1000 complete,  explore val = 0.01, episode reward = 90.0, ave reward = 78.3
episode 316 of 1000 complete,  explore val = 0.01, episode reward = 64.0, ave reward = 78.2
episode 317 of 1000 complete,  explore val = 0.01, episode reward = 265.0, ave reward = 80.4
episode 318 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 80.7
episode 319 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 81.3
episode 320 of 1000 complete,  explore val = 0.01, episode reward = 75.0, ave reward = 81.8
episode 321 of 1000 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 81.7
episode 322 of 1000 complete,  explore val = 0.01, episode reward = 86.0, ave reward = 81.9
episode 323 of 1000 complete,  explore val = 0.01, episode reward = 110.0, ave reward = 82.7
episode 324 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 82.7
episode 325 of 1000 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 82.6
